475 ms; 3 id; Start reading 2
477 ms; 3 id; Stop reading
477 ms; 3 id; Start reading 10
479 ms; 4 id; Stop reading
479 ms; 4 id; Start reading 9
484 ms; 2 id; Stop reading
487 ms; 3 id; Stop reading
488 ms; 4 id; Stop reading
488 ms; 2 id; Start writing 6
494 ms; 2 id; Stop writing
494 ms; 3 id; Start reading 4
494 ms; 4 id; Start reading 1
494 ms; 2 id; Start reading 1
495 ms; 2 id; Stop reading
495 ms; 2 id; Start reading 8
495 ms; 4 id; Stop reading
495 ms; 4 id; Start reading 6
498 ms; 3 id; Stop reading
498 ms; 3 id; Start reading 3
501 ms; 3 id; Stop reading
501 ms; 4 id; Stop reading
501 ms; 3 id; Start reading 7
501 ms; 4 id; Start reading 2
503 ms; 2 id; Stop reading
503 ms; 4 id; Stop reading
503 ms; 2 id; Start reading 8
503 ms; 4 id; Start reading 5
508 ms; 3 id; Stop reading
508 ms; 4 id; Stop reading
508 ms; 3 id; Start reading 10
508 ms; 4 id; Start reading 5
511 ms; 2 id; Stop reading
511 ms; 2 id; Start reading 1
512 ms; 2 id; Stop reading
512 ms; 2 id; Start reading 8
513 ms; 4 id; Stop reading
513 ms; 4 id; Start reading 7
518 ms; 3 id; Stop reading
518 ms; 3 id; Start reading 5
520 ms; 2 id; Stop reading
520 ms; 4 id; Stop reading
520 ms; 2 id; Start reading 2
520 ms; 4 id; Start reading 2
522 ms; 2 id; Stop reading
522 ms; 4 id; Stop reading
522 ms; 2 id; Start reading 9
522 ms; 4 id; Start reading 1
523 ms; 4 id; Stop reading
523 ms; 3 id; Stop reading
523 ms; 4 id; Start reading 7
523 ms; 3 id; Start reading 6
529 ms; 3 id; Stop reading
529 ms; 3 id; Start reading 7
530 ms; 4 id; Stop reading
530 ms; 4 id; Start reading 5
531 ms; 2 id; Stop reading
535 ms; 4 id; Stop reading
536 ms; 3 id; Stop reading
536 ms; 2 id; Start writing 9
545 ms; 2 id; Stop writing
545 ms; 4 id; Start reading 5
545 ms; 3 id; Start reading 6
545 ms; 2 id; Start reading 2
547 ms; 2 id; Stop reading
547 ms; 2 id; Start reading 3
550 ms; 2 id; Stop reading
550 ms; 4 id; Stop reading
550 ms; 2 id; Start reading 6
550 ms; 4 id; Start reading 8
551 ms; 3 id; Stop reading
556 ms; 2 id; Stop reading
558 ms; 4 id; Stop reading
558 ms; 3 id; Start writing 5
563 ms; 3 id; Stop writing
563 ms; 2 id; Start writing 5
568 ms; 2 id; Stop writing
568 ms; 4 id; Start writing 2
570 ms; 4 id; Stop writing
570 ms; 3 id; Start writing 7
577 ms; 3 id; Stop writing
577 ms; 2 id; Start reading 10
577 ms; 4 id; Start reading 6
577 ms; 3 id; Start reading 1
578 ms; 3 id; Stop reading
583 ms; 4 id; Stop reading
587 ms; 2 id; Stop reading
